customerid,subscription_type,contract_length,usage_frequency,support_calls,payment_delay
5093,Standard,Quarterly,28,8,26
5094,Standard,Quarterly,26,0,8
5095,Premium,Quarterly,3,2,23
5096,Standard,Quarterly,14,8,17
5097,Premium,Quarterly,6,5,15
5098,Premium,Monthly,10,1,30
5099,Standard,Quarterly,1,10,23
5100,Basic,Annual,27,0,4
5101,Premium,Monthly,29,1,12
5102,Basic,Annual,2,9,9
5103,Basic,Annual,20,6,19
5104,Basic,Quarterly,22,3,20
5105,Standard,Monthly,21,7,11
5106,Premium,Monthly,25,3,28
5107,Basic,Monthly,26,6,11
5108,Basic,Annual,21,0,22
5109,Basic,Quarterly,20,10,26
5110,Standard,Annual,20,7,10
5111,Premium,Quarterly,6,9,11
5112,Premium,Quarterly,1,9,19
5113,Standard,Quarterly,6,7,21
5114,Premium,Quarterly,16,7,13
5115,Basic,Quarterly,7,6,5
5116,Standard,Monthly,13,5,7
5117,Basic,Annual,12,8,26
5118,Standard,Annual,4,6,3
5119,Premium,Monthly,6,2,2
5120,Basic,Quarterly,13,9,22
5121,Basic,Annual,17,5,2
5122,Basic,Quarterly,24,4,11
5123,Standard,Quarterly,23,6,18
5124,Premium,Monthly,10,2,29
5125,Premium,Annual,1,1,21
5126,Standard,Monthly,20,7,26
5127,Premium,Monthly,22,6,4
5128,Premium,Annual,26,9,3
5129,Premium,Quarterly,11,1,2
5130,Premium,Quarterly,16,0,6
5131,Premium,Quarterly,18,0,3
5132,Premium,Annual,4,10,23
5133,Premium,Annual,11,1,6
5134,Standard,Monthly,10,5,20
5135,Basic,Quarterly,3,10,19
5136,Premium,Monthly,10,3,7
5137,Standard,Monthly,10,4,8
5138,Standard,Annual,12,10,13
5139,Standard,Annual,29,10,25
5140,Basic,Quarterly,6,9,6
5141,Premium,Quarterly,17,4,10
5142,Basic,Annual,25,4,17
5143,Basic,Quarterly,21,5,18
5144,Standard,Annual,7,8,5
5145,Standard,Annual,24,4,4
5146,Standard,Quarterly,9,2,1
5147,Premium,Monthly,5,6,18
5148,Basic,Monthly,21,3,1
5149,Standard,Annual,26,3,11
5150,Basic,Quarterly,29,7,28
5151,Standard,Monthly,27,10,30
5152,Premium,Monthly,21,7,11
5153,Basic,Annual,19,0,10
5154,Standard,Monthly,20,3,20
5155,Standard,Annual,8,6,23
5156,Standard,Annual,5,10,12
5157,Premium,Annual,12,1,30
5158,Premium,Annual,20,5,25
5159,Standard,Annual,14,6,25
5160,Premium,Annual,8,6,25
5161,Premium,Monthly,16,3,22
5162,Standard,Annual,29,1,24
5163,Basic,Monthly,10,10,18
5164,Premium,Annual,5,3,1
5165,Standard,Monthly,20,5,0
5166,Basic,Monthly,29,0,9
5167,Basic,Annual,13,9,14
5168,Basic,Monthly,10,0,4
5169,Premium,Monthly,7,3,21
5170,Basic,Monthly,28,9,25
5171,Standard,Quarterly,18,3,23
5172,Premium,Annual,25,6,4
5173,Standard,Monthly,10,8,25
5174,Basic,Monthly,30,9,28
5175,Premium,Quarterly,26,7,5
5176,Premium,Quarterly,19,5,28
5177,Basic,Monthly,21,7,2
5178,Premium,Monthly,22,3,15
5179,Basic,Annual,13,2,2
5180,Standard,Monthly,10,2,14
5181,Standard,Quarterly,10,10,0
5182,Premium,Quarterly,23,7,26
5183,Premium,Monthly,18,10,10
5184,Basic,Quarterly,22,5,7
5185,Standard,Quarterly,16,0,11
5186,Standard,Monthly,24,9,27
5187,Premium,Monthly,4,1,15
5188,Standard,Monthly,13,0,23
5189,Standard,Monthly,2,2,5
5190,Basic,Monthly,10,6,18
5191,Premium,Monthly,6,9,10
5192,Standard,Quarterly,1,6,20
5193,Standard,Monthly,1,7,20
5194,Basic,Annual,15,5,13
5195,Basic,Monthly,21,8,28
5196,Premium,Quarterly,11,6,12
5197,Standard,Annual,17,0,30
5198,Basic,Monthly,5,10,9
5199,Basic,Quarterly,24,8,0
5200,Premium,Monthly,16,8,18
5201,Standard,Annual,17,6,11
5202,Premium,Monthly,7,5,28
5203,Premium,Monthly,12,9,16
5204,Standard,Monthly,26,5,30
5205,Basic,Annual,20,2,1
5206,Premium,Monthly,19,6,30
5207,Basic,Annual,23,4,28
5208,Standard,Quarterly,18,1,1
5209,Standard,Quarterly,16,3,0
5210,Standard,Quarterly,22,6,8
5211,Premium,Monthly,17,3,22
5212,Premium,Annual,17,10,19
5213,Premium,Annual,24,3,12
5214,Standard,Quarterly,18,6,25
5215,Standard,Quarterly,26,2,22
5216,Standard,Annual,15,2,23
5217,Premium,Monthly,22,3,30
5218,Basic,Quarterly,3,1,26
5219,Basic,Annual,20,7,1
5220,Basic,Quarterly,4,10,12
5221,Standard,Monthly,28,8,20
5222,Premium,Annual,25,0,5
5223,Basic,Monthly,12,6,5
5224,Standard,Quarterly,12,5,16
5225,Premium,Quarterly,15,6,16
5226,Premium,Monthly,7,5,26
5227,Standard,Annual,16,1,5
5228,Basic,Quarterly,18,4,20
5229,Premium,Quarterly,17,4,27
5230,Standard,Annual,23,3,20
5231,Standard,Quarterly,17,7,14
5232,Standard,Annual,28,7,9
5233,Basic,Monthly,28,8,2
5234,Standard,Quarterly,5,8,29
5235,Premium,Quarterly,3,9,29
5236,Basic,Annual,6,4,14
5237,Standard,Monthly,19,10,20
5238,Premium,Monthly,28,6,0
5239,Standard,Quarterly,28,1,6
5240,Premium,Monthly,26,4,23
5241,Basic,Annual,29,3,26
5242,Basic,Monthly,29,2,20
5243,Basic,Annual,1,5,24
5244,Standard,Annual,13,3,27
5245,Premium,Quarterly,9,5,20
5246,Basic,Annual,27,4,22
5247,Standard,Annual,24,9,22
5248,Standard,Monthly,29,2,15
5249,Standard,Annual,29,8,12
5250,Standard,Annual,3,6,24
5251,Premium,Annual,22,8,30
5252,Basic,Annual,10,10,3
5253,Standard,Annual,24,10,17
5254,Premium,Monthly,10,7,13
5255,Standard,Annual,19,1,13
5256,Premium,Annual,21,3,30
5257,Basic,Annual,23,3,17
5258,Standard,Monthly,21,10,4
5259,Premium,Annual,6,10,25
5260,Standard,Annual,6,3,0
5261,Standard,Quarterly,16,7,3
5262,Standard,Annual,29,8,14
5263,Premium,Annual,17,4,26
5264,Premium,Quarterly,5,4,4
5265,Premium,Annual,5,1,2
5266,Standard,Quarterly,12,3,8
5267,Basic,Annual,21,0,18
5268,Premium,Quarterly,4,7,17
5269,Premium,Annual,17,6,3
5270,Premium,Quarterly,24,10,27
5271,Standard,Annual,27,10,11
5272,Standard,Monthly,17,3,7
5273,Standard,Quarterly,30,6,13
5274,Standard,Annual,11,0,18
5275,Premium,Monthly,10,1,28
5276,Basic,Quarterly,23,8,5
5277,Basic,Quarterly,18,2,18
5278,Basic,Annual,18,7,23
5279,Premium,Annual,4,10,16
5280,Premium,Monthly,6,5,27
5281,Standard,Quarterly,28,9,16
5282,Basic,Monthly,1,7,14
5283,Standard,Monthly,29,9,28
5284,Premium,Quarterly,11,5,29
5285,Standard,Quarterly,20,4,30
5286,Standard,Monthly,2,1,21
5287,Premium,Monthly,16,7,0
5288,Premium,Monthly,7,6,30
5289,Standard,Monthly,14,5,11
5290,Standard,Quarterly,17,8,27
5291,Basic,Annual,15,6,21
5292,Standard,Monthly,18,6,22
5293,Standard,Annual,29,5,16
5294,Premium,Annual,18,2,16
5295,Premium,Annual,27,9,7
5296,Standard,Quarterly,25,2,8
5297,Premium,Monthly,14,8,29
5298,Standard,Monthly,17,4,6
5299,Basic,Quarterly,17,1,10
5300,Standard,Monthly,10,9,1
5301,Premium,Monthly,23,6,20
5302,Premium,Quarterly,16,4,15
5303,Basic,Annual,26,9,5
5304,Basic,Annual,19,6,26
5305,Standard,Quarterly,16,5,8
5306,Premium,Annual,26,2,16
5307,Premium,Annual,22,0,9
5308,Premium,Monthly,6,2,14
5309,Basic,Quarterly,1,6,4
5310,Basic,Monthly,22,2,29
5311,Basic,Quarterly,9,6,26
5312,Standard,Monthly,7,6,11
5313,Premium,Monthly,13,3,11
5314,Standard,Annual,24,5,14
5315,Premium,Annual,23,6,19
5316,Premium,Monthly,5,9,29
5317,Basic,Monthly,6,1,29
5318,Premium,Quarterly,12,1,0
5319,Premium,Monthly,26,2,1
5320,Premium,Monthly,10,9,16
5321,Premium,Annual,27,2,14
5322,Standard,Quarterly,10,5,3
5323,Basic,Monthly,29,2,9
5324,Basic,Quarterly,7,2,9
5325,Basic,Monthly,2,10,27
5326,Standard,Monthly,10,8,13
5327,Standard,Annual,19,8,14
5328,Premium,Annual,7,6,29
5329,Basic,Annual,6,7,29
5330,Premium,Annual,1,10,21
5331,Basic,Annual,24,7,5
5332,Basic,Quarterly,27,7,0
5333,Standard,Quarterly,30,4,0
5334,Premium,Quarterly,22,7,13
5335,Basic,Annual,14,6,17
5336,Premium,Annual,18,7,27
5337,Premium,Quarterly,8,0,21
5338,Standard,Quarterly,19,4,5
5339,Premium,Annual,22,8,1
5340,Standard,Monthly,9,10,2
5341,Standard,Annual,14,7,0
5342,Premium,Quarterly,12,9,0
5343,Basic,Quarterly,15,1,28
5344,Standard,Monthly,25,1,12
5345,Standard,Monthly,29,7,1
5346,Standard,Annual,11,0,22
5347,Premium,Monthly,27,3,21
5348,Standard,Quarterly,1,8,7
5349,Premium,Quarterly,5,0,11
5350,Premium,Quarterly,8,0,20
5351,Basic,Quarterly,6,8,6
5352,Standard,Quarterly,27,6,24
5353,Basic,Annual,15,4,1
5354,Standard,Annual,15,8,10
5355,Standard,Annual,7,7,26
5356,Premium,Annual,25,6,26
5357,Premium,Annual,5,7,21
5358,Basic,Annual,3,1,0
5359,Standard,Monthly,12,7,7
5360,Basic,Annual,7,7,5
5361,Premium,Monthly,10,3,11
5362,Premium,Quarterly,23,4,16
5363,Basic,Quarterly,14,3,19
5364,Basic,Quarterly,10,4,14
5365,Basic,Quarterly,24,1,4
5366,Basic,Annual,26,8,13
5367,Standard,Annual,14,6,10
5368,Standard,Monthly,16,0,8
5369,Standard,Monthly,19,10,4
5370,Basic,Annual,14,4,8
5371,Standard,Annual,21,0,1
5372,Premium,Quarterly,23,2,30
5373,Basic,Monthly,7,6,2
5374,Standard,Annual,5,0,19
5375,Standard,Quarterly,5,6,25
5376,Basic,Annual,10,2,19
5377,Standard,Quarterly,13,5,27
5378,Basic,Annual,10,3,16
5379,Standard,Quarterly,21,8,14
5380,Premium,Quarterly,21,6,30
5381,Basic,Quarterly,23,1,19
5382,Basic,Annual,27,0,3
5383,Standard,Quarterly,25,5,18
5384,Premium,Annual,24,4,15
5385,Basic,Monthly,30,1,27
5386,Premium,Annual,20,5,0
5387,Standard,Quarterly,16,6,23
5388,Premium,Monthly,25,8,12
5389,Standard,Quarterly,28,10,6
5390,Standard,Annual,26,1,2
5391,Standard,Monthly,20,3,16
5392,Standard,Quarterly,9,0,16
5393,Premium,Quarterly,25,6,24
5394,Premium,Annual,18,10,8
5395,Basic,Quarterly,3,2,6
5396,Premium,Quarterly,23,10,24
5397,Basic,Quarterly,3,9,22
5398,Standard,Annual,17,6,2
5399,Basic,Monthly,26,0,4
5400,Premium,Quarterly,29,6,9
5401,Premium,Monthly,17,3,3
5402,Basic,Monthly,16,0,10
5403,Premium,Quarterly,27,7,12
5404,Basic,Annual,17,10,30
5405,Standard,Monthly,4,6,17
5406,Standard,Quarterly,9,1,13
5407,Standard,Monthly,25,2,0
5408,Premium,Monthly,15,5,3
5409,Premium,Quarterly,4,8,26
5410,Basic,Monthly,24,4,2
5411,Standard,Annual,1,0,17
5412,Standard,Monthly,9,7,13
5413,Premium,Quarterly,7,2,8
5414,Premium,Quarterly,14,2,3
5415,Basic,Monthly,9,8,1
5416,Basic,Annual,10,3,5
5417,Premium,Monthly,14,9,2
5418,Basic,Quarterly,10,10,9
5419,Premium,Annual,15,7,20
5420,Premium,Monthly,5,0,19
5421,Basic,Annual,10,2,21
5422,Basic,Annual,13,8,1
5423,Standard,Quarterly,12,6,28
5424,Standard,Annual,8,10,26
5425,Standard,Annual,28,0,20
5426,Basic,Monthly,20,3,26
5427,Standard,Quarterly,7,9,2
5428,Standard,Annual,12,10,2
5429,Standard,Monthly,17,1,9
5430,Premium,Annual,16,1,17
5431,Premium,Monthly,17,8,11
5432,Standard,Annual,29,3,25
5433,Standard,Annual,8,5,29
5434,Premium,Quarterly,12,0,6
5435,Standard,Monthly,21,5,22
5436,Premium,Quarterly,28,0,8
5437,Basic,Monthly,25,2,15
5438,Basic,Quarterly,27,4,11
5439,Premium,Quarterly,11,2,24
5440,Standard,Quarterly,23,2,14
5441,Basic,Quarterly,23,6,2
5442,Premium,Quarterly,10,0,21
5443,Standard,Quarterly,8,0,25
5444,Basic,Monthly,11,0,0
5445,Premium,Annual,23,6,29
5446,Basic,Quarterly,11,0,1
5447,Standard,Quarterly,26,6,24
5448,Premium,Annual,13,4,24
5449,Basic,Annual,13,5,23
5450,Premium,Monthly,23,6,12
5451,Premium,Quarterly,12,6,20
5452,Premium,Annual,27,3,12
5453,Standard,Annual,7,0,16
5454,Standard,Quarterly,3,8,17
5455,Basic,Quarterly,27,2,5
5456,Basic,Quarterly,15,0,14
5457,Premium,Annual,19,1,0
5458,Premium,Quarterly,20,2,17
5459,Standard,Annual,17,10,10
5460,Basic,Monthly,7,6,20
5461,Premium,Annual,12,9,0
5462,Basic,Monthly,26,8,3
5463,Basic,Quarterly,4,1,12
5464,Basic,Monthly,7,10,21
5465,Premium,Annual,1,1,18
5466,Basic,Annual,17,0,17
5467,Premium,Monthly,29,2,12
5468,Basic,Monthly,30,2,4
5469,Premium,Annual,26,2,30
5470,Standard,Annual,12,9,4
5471,Basic,Quarterly,2,8,15
5472,Basic,Annual,2,7,13
5473,Standard,Annual,19,2,13
5474,Premium,Quarterly,25,7,8
5475,Standard,Quarterly,10,9,3
5476,Standard,Annual,25,1,9
5477,Basic,Annual,3,4,18
5478,Basic,Monthly,25,0,13
5479,Premium,Monthly,27,2,9
5480,Standard,Annual,22,5,0
5481,Standard,Quarterly,16,0,1
5482,Standard,Annual,7,0,29
5483,Standard,Annual,23,0,24
5484,Standard,Monthly,9,8,20
5485,Basic,Monthly,11,3,26
5486,Basic,Monthly,26,4,5
5487,Standard,Annual,4,6,29
5488,Premium,Quarterly,15,5,23
5489,Standard,Monthly,11,7,17
5490,Premium,Quarterly,30,4,22
5491,Basic,Quarterly,13,8,15
5492,Basic,Annual,23,0,25
5493,Standard,Annual,22,2,25
5494,Basic,Annual,13,8,4
5495,Premium,Quarterly,24,2,5
5496,Basic,Annual,28,6,30
5497,Premium,Annual,11,7,1
5498,Standard,Monthly,3,7,27
5499,Basic,Annual,23,3,1
5500,Premium,Quarterly,10,7,1
5501,Standard,Annual,7,10,16
5502,Premium,Monthly,14,7,6
5503,Standard,Annual,22,7,20
5504,Premium,Monthly,26,6,24
5505,Standard,Monthly,23,0,28
5506,Standard,Annual,4,7,25
5507,Standard,Annual,23,1,16
5508,Premium,Annual,22,10,13
5509,Basic,Monthly,1,10,29
5510,Standard,Quarterly,24,0,24
5511,Premium,Monthly,18,4,20
5512,Premium,Monthly,5,9,29
5513,Premium,Quarterly,10,1,23
5514,Standard,Monthly,19,7,24
5515,Basic,Annual,24,8,22
5516,Standard,Monthly,6,7,21
5517,Standard,Quarterly,26,2,8
5518,Premium,Quarterly,4,8,23
5519,Standard,Monthly,24,6,30
5520,Premium,Quarterly,24,9,13
5521,Standard,Annual,2,4,26
5522,Standard,Quarterly,7,1,5
5523,Basic,Quarterly,1,0,24
5524,Standard,Quarterly,21,9,27
5525,Basic,Annual,7,3,26
5526,Premium,Monthly,3,1,18
5527,Basic,Quarterly,7,6,8
5528,Basic,Monthly,3,8,24
5529,Basic,Monthly,20,4,1
5530,Standard,Monthly,30,5,24
5531,Basic,Monthly,16,4,0
5532,Premium,Monthly,13,10,26
5533,Basic,Quarterly,25,3,29
5534,Standard,Annual,26,3,6
5535,Premium,Quarterly,4,6,11
5536,Standard,Monthly,17,9,26
5537,Basic,Annual,7,3,27
5538,Basic,Monthly,6,1,25
5539,Standard,Annual,27,2,25
5540,Premium,Monthly,2,5,23
5541,Standard,Quarterly,3,3,29
5542,Basic,Quarterly,19,8,28
5543,Basic,Quarterly,27,7,27
5544,Basic,Annual,30,9,27
5545,Standard,Annual,8,7,27
5546,Premium,Annual,3,7,28
5547,Premium,Quarterly,25,3,5
5548,Standard,Annual,2,2,20
5549,Premium,Annual,21,4,18
5550,Basic,Monthly,26,0,3
5551,Basic,Quarterly,16,7,26
5552,Standard,Monthly,28,2,4
5553,Standard,Quarterly,13,4,0
5554,Basic,Quarterly,20,10,2
5555,Basic,Quarterly,26,7,21
5556,Basic,Annual,6,7,19
5557,Standard,Monthly,16,5,8
5558,Standard,Annual,13,7,11
5559,Standard,Annual,17,6,29
5560,Basic,Monthly,5,8,13
5561,Premium,Quarterly,2,9,18
5562,Basic,Quarterly,19,1,8
5563,Basic,Monthly,28,10,21
5564,Standard,Annual,22,0,1
5565,Premium,Annual,12,2,22
5566,Basic,Quarterly,5,9,0
5567,Standard,Quarterly,22,6,18
5568,Premium,Monthly,15,4,0
5569,Premium,Monthly,11,5,14
5570,Standard,Annual,5,0,4
5571,Premium,Annual,11,9,22
5572,Premium,Monthly,10,7,30
5573,Basic,Monthly,9,5,2
5574,Premium,Monthly,20,8,17
5575,Premium,Quarterly,25,4,12
5576,Premium,Annual,5,1,29
5577,Basic,Monthly,8,4,23
5578,Standard,Quarterly,23,7,15
5579,Basic,Quarterly,8,4,30
5580,Standard,Monthly,12,0,0
5581,Premium,Monthly,24,6,8
5582,Premium,Annual,29,5,29
5583,Premium,Quarterly,17,3,2
5584,Premium,Quarterly,19,5,1
5585,Basic,Annual,20,0,6
5586,Standard,Quarterly,23,8,12
5587,Standard,Annual,22,6,22
5588,Standard,Quarterly,16,7,28
5589,Standard,Quarterly,8,6,25
5590,Basic,Annual,25,8,4
5591,Basic,Quarterly,26,4,21
5592,Premium,Annual,23,6,4
5593,Standard,Monthly,4,6,18
5594,Premium,Monthly,28,7,12
5595,Standard,Quarterly,4,0,21
5596,Premium,Quarterly,6,9,1
5597,Standard,Quarterly,1,2,9
5598,Basic,Quarterly,24,9,8
5599,Standard,Annual,7,9,10
5600,Standard,Quarterly,10,10,19
5601,Standard,Quarterly,7,4,30
5602,Standard,Monthly,1,2,29
5603,Basic,Monthly,6,10,9
5604,Standard,Quarterly,27,8,3
5605,Basic,Monthly,24,2,8
5606,Basic,Monthly,3,3,30
5607,Standard,Annual,30,9,1
5608,Standard,Annual,27,4,6
5609,Premium,Quarterly,12,7,12
5610,Premium,Monthly,18,9,26
5611,Basic,Quarterly,30,8,0
5612,Standard,Annual,20,2,19
5613,Standard,Quarterly,19,7,25
5614,Premium,Quarterly,6,7,27
5615,Basic,Quarterly,6,4,30
5616,Basic,Monthly,15,10,30
5617,Standard,Annual,4,3,11
5618,Premium,Quarterly,27,1,1
5619,Standard,Annual,24,6,6
5620,Standard,Annual,14,9,15
5621,Standard,Annual,16,0,25
5622,Basic,Quarterly,30,2,11
5623,Basic,Quarterly,14,8,5
5624,Standard,Monthly,14,10,20
5625,Basic,Monthly,14,4,1
5626,Basic,Quarterly,30,8,10
5627,Premium,Annual,5,4,17
5628,Basic,Monthly,11,3,4
5629,Standard,Monthly,5,0,6
5630,Standard,Annual,22,5,19
5631,Standard,Annual,13,7,9
5632,Standard,Monthly,27,6,20
5633,Premium,Monthly,26,5,24
5634,Premium,Monthly,11,2,4
5635,Standard,Monthly,5,9,22
5636,Basic,Quarterly,25,1,15
5637,Premium,Annual,23,0,19
5638,Standard,Quarterly,2,0,25
5639,Premium,Quarterly,17,8,9
5640,Standard,Monthly,3,7,2
5641,Premium,Monthly,10,6,13
5642,Basic,Annual,23,6,15
5643,Premium,Monthly,1,2,23
5644,Standard,Annual,14,4,26
5645,Premium,Monthly,2,1,4
5646,Standard,Monthly,15,0,30
5647,Basic,Annual,25,2,15
5648,Standard,Quarterly,1,0,22
5649,Standard,Quarterly,6,3,10
5650,Standard,Quarterly,23,4,4
5651,Standard,Monthly,14,0,3
5652,Basic,Quarterly,27,0,9
5653,Premium,Annual,5,1,8
5654,Standard,Monthly,4,7,7
5655,Standard,Quarterly,6,6,17
5656,Basic,Annual,23,10,22
5657,Premium,Monthly,5,2,27
5658,Standard,Quarterly,22,3,4
5659,Basic,Quarterly,30,2,25
5660,Standard,Monthly,1,7,3
5661,Premium,Monthly,24,1,12
5662,Basic,Quarterly,16,10,20
5663,Basic,Annual,18,5,20
5664,Basic,Annual,28,8,21
5665,Premium,Annual,23,9,1
5666,Standard,Annual,25,7,2
5667,Standard,Annual,8,10,3
5668,Basic,Quarterly,27,2,19
5669,Standard,Annual,15,2,12
5670,Premium,Annual,18,4,16
5671,Basic,Monthly,1,8,1
5672,Premium,Annual,13,0,26
5673,Standard,Quarterly,14,7,17
5674,Premium,Quarterly,2,0,25
5675,Basic,Monthly,17,3,17
5676,Basic,Annual,25,1,12
5677,Basic,Monthly,3,7,7
5678,Premium,Monthly,1,8,24
5679,Basic,Quarterly,30,8,2
5680,Standard,Monthly,13,4,23
5681,Premium,Monthly,12,9,5
5682,Standard,Quarterly,16,2,7
5683,Standard,Monthly,1,4,23
5684,Premium,Annual,8,7,2
5685,Standard,Quarterly,25,6,7
5686,Premium,Monthly,27,5,21
5687,Basic,Annual,2,10,21
5688,Basic,Quarterly,12,1,16
5689,Standard,Quarterly,12,6,14
5690,Premium,Monthly,20,10,29
5691,Basic,Annual,25,5,12
5692,Premium,Monthly,23,0,5
5693,Standard,Annual,18,8,17
5694,Standard,Monthly,8,1,14
5695,Basic,Monthly,28,6,11
5696,Standard,Monthly,22,9,2
5697,Premium,Annual,26,5,16
5698,Standard,Monthly,12,4,2
5699,Basic,Annual,20,10,1
5700,Basic,Annual,13,7,21
5701,Premium,Monthly,11,1,30
5702,Basic,Quarterly,14,6,4
5703,Basic,Annual,22,5,5
5704,Premium,Annual,3,9,22
5705,Basic,Quarterly,16,0,13
5706,Basic,Annual,2,6,30
5707,Standard,Monthly,6,10,12
5708,Standard,Quarterly,13,9,4
5709,Premium,Monthly,9,3,7
5710,Standard,Monthly,27,7,20
5711,Standard,Monthly,7,7,6
5712,Standard,Monthly,15,8,5
5713,Premium,Monthly,13,3,15
5714,Basic,Annual,19,6,16
5715,Standard,Annual,24,10,10
5716,Premium,Monthly,21,4,28
5717,Premium,Quarterly,8,6,4
5718,Premium,Annual,9,2,15
5719,Premium,Quarterly,2,3,21
5720,Standard,Annual,14,1,0
5721,Premium,Monthly,11,4,11
5722,Basic,Quarterly,10,5,28
5723,Standard,Annual,16,1,17
5724,Basic,Quarterly,15,2,10
5725,Basic,Monthly,13,6,26
5726,Premium,Monthly,22,0,0
5727,Premium,Quarterly,16,2,14
5728,Basic,Monthly,13,6,27
5729,Standard,Quarterly,1,9,7
5730,Basic,Quarterly,16,1,28
5731,Premium,Monthly,8,9,17
5732,Premium,Quarterly,28,3,13
5733,Basic,Quarterly,14,8,26
5734,Premium,Monthly,30,0,17
5735,Standard,Monthly,26,4,25
5736,Basic,Monthly,18,10,10
5737,Standard,Quarterly,14,6,22
5738,Premium,Monthly,17,4,6
5739,Standard,Annual,11,3,10
5740,Premium,Annual,20,7,14
5741,Premium,Annual,1,7,9
5742,Basic,Quarterly,22,9,12
5743,Basic,Quarterly,5,4,25
5744,Premium,Monthly,2,2,16
5745,Standard,Quarterly,11,7,2
5746,Standard,Annual,6,2,7
5747,Premium,Annual,17,10,23
5748,Standard,Monthly,22,2,7
5749,Standard,Quarterly,6,0,19
5750,Basic,Quarterly,12,10,8
5751,Premium,Monthly,27,7,7
5752,Basic,Annual,11,8,15
5753,Standard,Annual,3,8,13
5754,Premium,Quarterly,1,4,29
5755,Premium,Monthly,30,2,15
5756,Standard,Monthly,19,1,5
5757,Basic,Annual,20,1,11
5758,Basic,Annual,2,0,3
5759,Premium,Monthly,19,3,28
5760,Premium,Quarterly,22,2,21
5761,Premium,Quarterly,26,2,18
5762,Standard,Quarterly,5,10,0
5763,Basic,Quarterly,25,5,5
5764,Premium,Monthly,12,1,15
5765,Premium,Quarterly,3,8,14
5766,Standard,Quarterly,25,1,18
5767,Premium,Quarterly,10,5,24
5768,Premium,Quarterly,5,4,3
5769,Basic,Quarterly,6,3,18
5770,Premium,Quarterly,5,4,20
5771,Premium,Annual,1,2,1
5772,Standard,Annual,13,0,25
5773,Basic,Annual,3,10,20
5774,Basic,Monthly,17,2,22
5775,Premium,Quarterly,1,10,27
5776,Premium,Annual,10,8,3
5777,Basic,Quarterly,23,10,20
5778,Premium,Annual,17,7,26
5779,Standard,Quarterly,22,2,9
5780,Standard,Monthly,26,8,21
5781,Standard,Annual,26,0,25
5782,Premium,Annual,29,2,5
5783,Basic,Monthly,10,1,10
5784,Premium,Annual,9,2,29
5785,Standard,Quarterly,15,8,19
5786,Premium,Annual,19,9,25
5787,Premium,Quarterly,28,9,29
5788,Basic,Monthly,8,8,17
5789,Premium,Quarterly,19,4,12
5790,Premium,Quarterly,1,6,19
5791,Premium,Annual,28,8,21
5792,Standard,Annual,1,10,6
5793,Standard,Quarterly,8,5,27
5794,Standard,Annual,29,9,12
5795,Standard,Quarterly,29,7,22
5796,Premium,Quarterly,9,4,10
5797,Basic,Monthly,20,2,20
5798,Premium,Monthly,16,1,19
5799,Standard,Quarterly,30,8,26
5800,Standard,Quarterly,29,0,0
5801,Premium,Quarterly,5,9,19
5802,Standard,Annual,29,0,20
5803,Premium,Annual,1,1,26
5804,Basic,Annual,18,1,25
5805,Standard,Monthly,16,5,13
5806,Premium,Annual,21,1,3
5807,Standard,Quarterly,10,0,23
5808,Standard,Annual,2,8,15
5809,Basic,Annual,1,2,26
5810,Standard,Monthly,28,1,30
5811,Basic,Quarterly,10,5,15
5812,Basic,Quarterly,15,1,25
5813,Standard,Annual,11,9,20
5814,Standard,Quarterly,5,1,12
5815,Premium,Monthly,9,1,5
5816,Basic,Quarterly,28,10,15
5817,Standard,Annual,21,5,15
5818,Basic,Quarterly,21,8,22
5819,Basic,Monthly,3,6,21
5820,Premium,Monthly,24,2,13
5821,Basic,Annual,14,1,15
5822,Basic,Quarterly,7,9,17
5823,Standard,Quarterly,8,10,13
5824,Basic,Monthly,19,1,29
5825,Premium,Annual,17,5,22
5826,Standard,Annual,10,0,13
5827,Basic,Quarterly,11,7,13
5828,Standard,Annual,7,9,5
5829,Premium,Monthly,16,8,5
5830,Basic,Quarterly,14,6,14
5831,Standard,Quarterly,24,2,30
5832,Premium,Quarterly,28,5,30
5833,Premium,Quarterly,9,2,30
5834,Standard,Monthly,14,5,7
5835,Basic,Monthly,29,10,18
5836,Basic,Annual,3,10,6
5837,Basic,Quarterly,23,0,1
5838,Standard,Annual,20,2,21
5839,Standard,Quarterly,19,9,1
5840,Premium,Quarterly,1,2,21
5841,Premium,Annual,7,5,4
5842,Premium,Quarterly,29,0,19
5843,Premium,Quarterly,9,5,18
5844,Premium,Quarterly,15,7,21
5845,Standard,Monthly,1,6,14
5846,Basic,Annual,28,9,3
5847,Premium,Monthly,9,4,27
5848,Standard,Annual,11,4,25
5849,Basic,Quarterly,8,2,17
5850,Standard,Quarterly,20,9,3
5851,Premium,Annual,17,9,4
5852,Premium,Monthly,30,1,14
5853,Standard,Monthly,6,9,30
5854,Basic,Annual,7,5,26
5855,Basic,Monthly,21,0,1
5856,Premium,Annual,16,1,1
5857,Premium,Quarterly,30,8,17
5858,Standard,Monthly,3,7,8
5859,Standard,Annual,18,8,8
5860,Standard,Quarterly,13,4,22
5861,Standard,Annual,2,6,9
5862,Basic,Annual,18,3,27
5863,Premium,Annual,7,3,26
5864,Standard,Monthly,12,8,21
5865,Premium,Monthly,17,0,4
5866,Standard,Monthly,11,1,24
5867,Premium,Annual,2,8,20
