customerid,tenure,total_spend,last_interaction
14625,48,228,16
14626,23,190,3
14627,23,893,8
14628,49,260,18
14629,1,105,6
14630,3,821,20
14631,19,116,9
14632,2,621,14
14633,28,980,13
14634,54,350,9
14635,49,397,30
14636,56,133,30
14637,16,597,26
14638,29,375,30
14639,49,583,20
14640,28,799,26
14641,4,640,15
14642,20,234,14
14643,58,769,9
14644,29,555,26
14645,21,248,22
14646,2,172,19
14647,40,352,5
14648,27,323,21
14649,57,380,20
14650,7,687,23
14651,28,382,15
14652,33,300,6
14653,1,454,29
14654,56,175,15
14655,9,406,25
14656,12,825,8
14657,42,977,14
14658,8,688,18
14659,17,193,8
14660,46,547,10
14661,35,210,20
14662,48,784,11
14663,40,767,11
14664,38,732,7
14665,42,954,29
14666,1,751,16
14667,9,927,3
14668,36,967,3
14669,20,957,14
14670,2,698,15
14671,4,863,15
14672,3,580,6
14673,26,201,3
14674,15,490,11
14675,45,796,10
14676,53,856,4
14677,40,278,4
14678,25,956,21
14679,41,827,23
14680,1,959,2
14681,56,887,24
14682,17,348,1
14683,11,150,12
14684,55,960,16
14685,49,541,13
14686,53,506,29
14687,22,916,20
14688,19,969,5
14689,6,175,3
14690,10,772,11
14691,31,769,29
14692,4,525,25
14693,12,276,18
14694,36,877,9
14695,55,405,24
14696,38,183,1
14697,3,990,10
14698,29,617,22
14699,39,458,26
14700,1,813,25
14701,19,902,12
14702,35,951,27
14703,22,426,29
14704,4,152,18
14705,43,559,29
14706,41,736,8
14707,31,529,28
14708,20,680,15
14709,8,961,7
14710,5,939,26
14711,58,432,25
14712,38,632,2
14713,9,616,27
14714,16,256,22
14715,16,319,16
14716,33,205,9
14717,22,330,16
14718,22,798,12
14719,28,242,6
14720,16,672,14
14721,41,837,24
14722,8,963,20
14723,31,480,5
14724,37,703,8
14725,12,651,14
14726,60,715,30
14727,49,967,18
14728,41,787,21
14729,22,842,3
14730,57,394,10
14731,43,162,4
14732,57,547,12
14733,27,395,23
14734,31,635,12
14735,53,189,10
14736,35,301,7
14737,60,503,26
14738,50,713,14
14739,3,447,7
14740,24,583,28
14741,21,104,5
14742,47,344,30
14743,4,244,2
14744,41,896,9
14745,14,559,29
14746,22,218,30
14747,50,849,19
14748,46,868,28
14749,11,904,26
14750,46,486,17
14751,33,705,26
14752,26,978,30
14753,4,890,13
14754,5,426,19
14755,45,701,2
14756,9,307,18
14757,30,268,26
14758,46,193,3
14759,19,589,13
14760,26,618,20
14761,56,166,30
14762,38,728,14
14763,9,307,11
14764,1,505,8
14765,39,154,15
14766,49,223,2
14767,3,936,26
14768,29,653,11
14769,21,698,20
14770,58,215,7
14771,12,724,18
14772,19,831,8
14773,6,844,21
14774,35,809,25
14775,5,863,23
14776,51,515,18
14777,1,247,19
14778,7,291,4
14779,14,717,11
14780,39,352,15
14781,53,567,16
14782,59,715,2
14783,38,360,20
14784,14,569,13
14785,13,974,29
14786,45,924,17
14787,12,569,18
14788,8,737,29
14789,49,506,23
14790,9,643,2
14791,29,106,27
14792,56,107,5
14793,41,844,15
14794,57,221,22
14795,47,958,21
14796,49,945,15
14797,32,675,19
14798,10,395,4
14799,59,419,3
14800,1,147,1
14801,36,593,8
14802,25,817,26
14803,26,878,12
14804,3,636,7
14805,9,848,12
14806,47,839,4
14807,38,769,2
14808,36,345,28
14809,17,321,26
14810,14,385,6
14811,12,235,6
14812,45,398,13
14813,31,515,28
14814,1,591,24
14815,58,883,28
14816,7,313,14
14817,48,534,13
14818,16,806,13
14819,55,126,14
14820,41,918,2
14821,52,445,10
14822,29,136,21
14823,53,474,13
14824,2,528,11
14825,17,944,29
14826,36,329,18
14827,1,601,3
14828,14,211,25
14829,18,408,27
14830,22,406,10
14831,36,334,26
14832,40,730,21
14833,36,307,29
14834,33,836,4
14835,21,953,7
14836,23,845,23
14837,45,743,2
14838,23,701,20
14839,16,271,4
14840,48,639,29
14841,3,595,28
14842,38,834,26
14843,16,249,11
14844,41,553,26
14845,20,357,2
14846,53,525,19
14847,33,186,6
14848,52,628,11
14849,47,776,21
14850,3,308,10
14851,13,123,7
14852,50,807,30
14853,16,578,28
14854,22,307,28
14855,32,560,28
14856,28,513,3
14857,42,936,11
14858,37,242,26
14859,41,781,19
14860,48,398,6
14861,14,160,1
14862,15,674,23
14863,51,256,6
14864,35,835,16
14865,36,893,24
14866,59,768,15
14867,30,470,3
14868,57,386,17
14869,21,839,18
14870,19,525,6
14871,14,563,29
14872,38,360,23
14873,25,660,5
14874,43,116,24
14875,18,285,10
14876,48,400,6
14877,58,406,1
14878,36,881,24
14879,52,456,19
14880,15,895,9
14881,10,424,20
14882,49,761,28
14883,17,372,23
14884,44,340,9
14885,3,625,15
14886,30,783,27
14887,42,340,26
14888,31,715,19
14889,25,148,27
14890,30,958,19
14891,44,303,30
14892,38,823,11
14893,55,362,26
14894,26,556,1
14895,42,712,27
14896,16,664,5
14897,50,626,22
14898,51,740,3
14899,15,843,14
14900,47,430,1
14901,10,194,27
14902,46,509,30
14903,54,903,18
14904,60,681,2
14905,11,724,3
14906,21,423,8
14907,34,527,27
14908,15,764,17
14909,41,665,6
14910,27,263,13
14911,20,723,5
14912,11,261,28
14913,11,809,25
14914,50,157,10
14915,13,200,2
14916,31,728,24
14917,46,296,15
14918,34,123,29
14919,58,756,17
14920,44,690,22
14921,19,868,30
14922,23,134,24
14923,50,425,4
14924,15,665,3
14925,14,439,30
14926,15,442,24
14927,55,605,16
14928,57,276,15
14929,35,720,21
14930,44,564,8
14931,14,255,30
14932,48,842,5
14933,8,221,4
14934,38,919,28
14935,5,970,9
14936,41,983,13
14937,27,180,11
14938,52,242,5
14939,30,911,9
14940,56,529,14
14941,17,814,2
14942,50,916,11
14943,16,196,1
14944,35,989,24
14945,9,315,22
14946,13,155,15
14947,3,861,30
14948,3,712,27
14949,45,392,15
14950,4,867,3
14951,12,411,10
14952,39,968,12
14953,46,341,3
14954,5,711,19
14955,7,681,23
14956,4,965,15
14957,44,144,6
14958,8,573,25
14959,57,315,22
14960,29,481,8
14961,17,308,11
14962,21,515,9
14963,44,363,9
14964,36,208,26
14965,31,312,10
14966,12,170,4
14967,32,692,8
14968,59,986,23
14969,53,865,27
14970,17,454,7
14971,5,576,5
14972,35,433,9
14973,1,571,16
14974,51,231,13
14975,21,270,30
14976,1,521,8
14977,51,895,13
14978,8,164,24
14979,37,544,2
14980,48,843,10
14981,12,279,27
14982,23,734,11
14983,54,454,13
14984,56,489,9
14985,11,923,8
14986,10,138,12
14987,43,159,25
14988,33,347,23
14989,5,191,23
14990,12,338,9
14991,31,569,3
14992,23,658,25
14993,45,691,18
14994,20,435,10
14995,45,287,10
14996,7,802,20
14997,52,214,4
14998,17,502,10
14999,51,599,13
15000,19,793,2
15001,42,379,22
15002,43,414,13
15003,2,350,25
15004,38,739,18
15005,43,979,22
15006,20,820,7
15007,39,517,14
15008,12,646,5
15009,32,387,30
15010,39,451,13
15011,5,457,28
15012,56,825,5
15013,13,759,26
15014,35,219,14
15015,31,149,30
15016,46,280,30
15017,54,605,30
15018,6,586,26
15019,58,674,28
15020,25,505,26
15021,12,285,4
15022,48,618,11
15023,34,971,9
15024,31,125,30
15025,1,724,23
15026,38,243,14
15027,46,329,27
15028,34,714,23
15029,18,424,1
15030,21,912,12
15031,50,116,25
15032,29,729,17
15033,59,655,27
15034,34,509,5
15035,5,128,28
15036,39,884,13
15037,17,897,17
15038,60,940,20
15039,58,103,1
15040,34,120,2
15041,40,828,17
15042,27,805,6
15043,16,754,16
15044,1,466,5
15045,5,228,9
15046,19,188,13
15047,6,146,7
15048,41,121,2
15049,36,816,22
15050,16,751,13
15051,6,299,30
15052,8,777,13
15053,31,195,12
15054,58,758,7
15055,29,360,20
15056,3,981,11
15057,57,378,24
15058,11,379,11
15059,33,581,12
15060,52,969,22
15061,15,194,10
15062,7,561,8
15063,37,173,7
15064,56,623,25
15065,14,786,15
15066,24,275,8
15067,13,633,24
15068,45,662,23
15069,9,548,3
15070,48,117,24
15071,41,367,7
15072,16,626,19
15073,14,421,18
15074,34,489,30
15075,39,423,5
15076,16,465,21
15077,14,178,30
15078,49,470,6
15079,42,233,7
15080,25,714,14
15081,51,584,16
15082,4,932,15
15083,13,314,12
15084,36,969,10
15085,41,872,8
15086,3,517,3
15087,43,734,13
15088,22,503,20
15089,59,996,13
15090,42,826,28
15091,49,901,17
15092,2,347,20
15093,13,568,16
15094,33,423,18
15095,20,198,25
15096,13,543,16
15097,11,457,18
15098,57,162,6
15099,48,878,19
15100,1,253,8
15101,26,952,18
15102,11,676,6
15103,51,108,17
15104,47,210,1
15105,45,921,11
15106,11,771,4
15107,27,415,8
15108,2,336,2
15109,55,246,6
15110,40,174,22
15111,15,371,29
15112,37,791,15
15113,48,963,17
15114,25,313,24
15115,39,371,24
15116,20,565,7
15117,5,857,14
15118,1,601,2
15119,59,412,24
15120,29,744,9
15121,53,232,13
15122,15,126,9
15123,14,339,7
15124,60,116,18
15125,28,719,18
15126,58,970,13
15127,16,809,25
15128,15,320,16
15129,10,554,4
15130,15,828,24
15131,13,712,9
15132,32,594,14
15133,7,750,25
15134,27,198,7
15135,42,219,4
15136,40,784,6
15137,60,190,8
15138,56,714,7
15139,32,137,2
15140,46,676,4
15141,35,358,27
15142,55,360,23
15143,27,125,22
15144,3,496,29
15145,21,994,2
15146,15,308,12
15147,35,209,14
15148,52,600,8
15149,13,828,27
15150,23,786,8
15151,51,999,3
15152,25,176,23
15153,18,732,6
15154,52,455,1
15155,24,961,28
15156,16,617,26
15157,7,404,2
15158,35,309,1
15159,40,858,28
15160,8,439,19
15161,37,223,7
15162,29,642,10
15163,6,202,5
15164,60,833,16
15165,38,824,2
15166,48,886,30
15167,29,892,4
15168,35,188,30
15169,34,451,6
15170,13,655,16
15171,33,453,16
15172,7,679,15
15173,20,427,15
15174,18,983,28
15175,47,778,24
15176,33,339,23
15177,40,860,7
15178,9,151,17
15179,20,120,14
15180,18,534,7
15181,16,544,17
15182,7,998,6
15183,46,102,23
15184,60,631,18
15185,44,919,24
15186,31,832,9
15187,46,542,9
15188,9,585,17
15189,5,169,30
15190,20,333,30
15191,21,427,3
15192,34,736,26
15193,49,169,25
15194,5,192,15
15195,23,259,23
15196,1,851,24
15197,9,327,26
15198,2,214,25
15199,53,679,10
15200,40,496,24
15201,23,200,14
15202,49,171,4
15203,21,819,17
15204,35,516,3
15205,48,113,28
15206,50,379,23
15207,6,453,26
15208,43,104,16
15209,2,209,9
15210,22,667,4
15211,48,721,22
15212,35,497,14
15213,24,716,1
15214,47,816,23
15215,33,426,18
15216,40,604,2
15217,42,773,11
15218,26,819,1
15219,60,214,28
15220,46,533,2
15221,43,724,13
15222,19,754,7
15223,9,775,16
15224,36,566,19
15225,24,914,26
15226,19,780,17
15227,44,106,4
15228,24,855,27
15229,9,917,18
15230,15,995,16
15231,16,289,4
15232,56,107,20
15233,46,833,15
15234,33,425,6
15235,50,833,2
15236,12,663,15
15237,1,803,17
15238,41,452,14
15239,28,972,21
15240,13,487,16
15241,34,885,15
15242,35,299,10
15243,20,545,3
15244,11,171,26
15245,56,590,4
15246,8,139,8
15247,55,765,11
15248,40,771,13
15249,56,809,13
15250,56,282,22
15251,34,862,10
15252,45,890,18
15253,14,683,24
15254,59,914,27
15255,29,273,5
15256,55,194,28
15257,5,178,17
15258,6,143,10
15259,18,206,18
15260,10,592,18
15261,2,359,17
15262,44,912,10
15263,46,885,26
15264,9,457,15
15265,23,401,26
15266,31,556,3
15267,1,834,4
15268,34,453,19
15269,45,920,4
15270,44,363,3
15271,58,175,15
15272,3,841,18
15273,44,744,9
15274,21,522,3
15275,45,655,5
15276,41,731,22
15277,60,425,15
15278,5,540,29
15279,38,369,24
15280,39,198,14
15281,42,181,14
15282,47,274,26
15283,40,932,27
15284,17,233,15
15285,6,654,2
15286,27,476,27
15287,48,123,2
15288,48,525,15
15289,42,724,18
15290,3,342,26
15291,34,678,20
15292,28,963,19
15293,39,201,17
15294,10,422,14
15295,7,863,17
15296,26,241,10
15297,56,972,19
15298,5,708,21
15299,4,215,2
15300,14,996,30
15301,21,731,12
15302,49,174,23
15303,57,461,6
15304,55,184,3
15305,12,863,27
15306,30,981,6
15307,15,919,15
15308,3,133,7
15309,30,482,16
15310,5,237,24
15311,44,415,2
15312,39,557,7
15313,18,503,30
15314,4,517,12
15315,8,659,22
15316,28,510,25
15317,46,715,17
15318,6,907,6
15319,24,677,12
15320,47,309,5
15321,36,337,26
15322,42,757,13
15323,48,730,9
15324,57,517,7
15325,46,423,16
15326,24,626,4
15327,33,183,3
15328,41,218,18
15329,3,785,22
15330,42,219,16
15331,37,360,29
15332,32,775,23
15333,47,493,7
15334,45,602,25
15335,56,341,9
15336,25,865,15
15337,3,664,15
15338,50,191,16
15339,17,579,19
15340,36,995,10
15341,60,400,17
15342,18,371,9
15343,34,646,22
15344,14,755,19
15345,54,643,18
15346,47,300,16
15347,36,193,12
15348,33,572,11
15349,19,178,28
15350,35,261,21
15351,47,742,13
15352,28,141,28
15353,46,103,20
15354,32,953,23
15355,12,552,8
15356,40,606,9
15357,29,599,26
15358,29,529,15
15359,25,270,10
15360,38,615,9
15361,15,695,17
15362,9,755,12
15363,18,167,4
15364,46,103,24
15365,24,583,4
15366,51,584,8
15367,23,875,15
15368,31,609,18
15369,29,649,15
15370,39,871,3
15371,9,822,20
15372,41,246,4
15373,9,543,10
15374,31,384,19
15375,4,972,16
15376,52,969,28
15377,24,988,11
15378,24,290,6
15379,4,272,27
15380,18,527,21
15381,15,142,3
15382,30,655,19
15383,37,501,1
15384,22,155,28
15385,48,178,16
15386,19,743,27
15387,20,913,14
15388,21,463,3
15389,47,798,10
15390,5,283,11
15391,33,922,20
15392,11,578,2
15393,3,847,25
15394,24,605,18
15395,19,585,6
15396,12,520,22
15397,39,382,21
15398,26,657,2
15399,54,994,18
15400,20,533,17
15401,17,393,21
15402,29,946,4
15403,15,622,23
15404,47,681,25
15405,19,245,13
15406,48,713,21
15407,52,380,28
15408,16,374,10
15409,53,528,24
15410,35,360,13
15411,20,224,13
15412,10,112,23
15413,38,111,5
15414,11,560,25
15415,30,445,27
15416,26,517,21
15417,49,405,2
15418,28,855,9
15419,60,415,3
15420,4,376,5
15421,38,323,5
15422,32,918,24
15423,11,225,24
15424,26,800,28
15425,35,481,3
15426,17,200,4
15427,49,945,6
15428,52,751,9
15429,22,265,23
15430,14,805,10
15431,2,618,30
15432,25,890,25
15433,20,212,24
15434,27,356,26
15435,40,827,30
15436,1,793,21
15437,25,749,13
15438,23,291,22
15439,59,108,5
15440,18,406,28
15441,41,861,22
15442,36,456,6
15443,51,650,14
15444,60,363,11
15445,11,625,29
15446,15,967,13
15447,37,857,8
15448,55,170,14
15449,30,989,20
15450,12,422,27
15451,25,183,9
15452,14,418,8
15453,23,853,20
15454,26,410,29
15455,53,899,25
15456,24,980,8
15457,6,933,3
15458,56,793,8
15459,60,988,10
15460,60,189,16
15461,8,368,22
15462,20,953,5
15463,16,642,21
15464,31,235,18
15465,15,307,23
15466,11,490,2
15467,23,407,1
15468,49,948,2
15469,15,701,8
15470,37,424,25
15471,51,896,9
15472,58,561,1
15473,54,904,21
15474,39,942,23
15475,16,516,21
15476,39,306,4
15477,20,635,25
15478,51,401,21
15479,33,659,23
15480,20,671,27
15481,39,361,8
15482,18,492,15
15483,18,199,7
15484,51,915,10
15485,41,399,11
15486,43,649,27
15487,47,991,12
15488,23,326,8
15489,4,722,12
15490,48,954,24
15491,29,441,18
15492,26,512,8
15493,35,896,11
15494,4,671,8
15495,23,618,17
15496,56,285,25
15497,41,444,7
15498,44,677,9
15499,29,965,15
15500,52,468,25
15501,55,564,1
15502,12,625,13
15503,12,947,1
15504,28,521,8
15505,6,167,18
15506,14,998,14
15507,23,936,28
15508,12,399,8
15509,22,498,9
15510,4,143,3
15511,51,795,10
15512,42,577,16
15513,41,732,30
15514,34,843,17
15515,17,480,9
15516,38,988,15
15517,3,420,24
15518,58,514,27
15519,19,591,10
15520,30,666,16
15521,49,198,9
15522,24,759,2
15523,4,550,16
15524,20,333,20
15525,48,370,29
15526,59,415,11
15527,17,515,13
15528,2,837,14
15529,60,332,3
15530,48,302,13
15531,58,570,4
15532,27,400,28
15533,31,391,13
15534,32,735,1
15535,46,975,9
15536,55,706,23
15537,23,539,11
15538,18,517,14
15539,7,740,7
15540,42,866,12
15541,32,332,30
15542,54,538,23
15543,40,296,27
15544,52,246,28
15545,33,201,17
15546,24,726,10
15547,37,320,3
15548,30,127,20
15549,55,953,14
15550,26,423,28
15551,46,560,2
15552,34,623,25
15553,18,483,23
15554,50,367,1
15555,8,875,22
15556,55,761,29
15557,15,923,26
15558,50,523,26
15559,53,752,29
15560,7,497,10
15561,2,246,7
15562,39,856,26
15563,23,587,28
15564,21,802,12
15565,22,202,10
15566,42,907,6
15567,7,577,23
15568,43,850,8
15569,22,653,26
15570,25,571,30
15571,60,833,15
15572,16,553,24
15573,60,647,14
15574,60,612,4
15575,3,308,17
15576,37,343,15
15577,58,991,1
15578,59,328,27
15579,54,509,26
15580,60,326,23
15581,59,418,16
15582,22,510,16
15583,14,870,28
15584,13,228,7
15585,44,505,16
15586,35,315,4
15587,31,706,23
15588,29,234,13
15589,46,532,23
15590,1,200,11
15591,55,659,18
15592,46,505,6
15593,13,717,13
15594,50,237,15
15595,34,219,1
15596,60,572,14
15597,51,182,17
15598,54,372,24
15599,28,382,1
15600,21,530,6
15601,58,849,24
15602,50,875,19
15603,54,172,29
15604,16,797,6
15605,10,985,16
15606,41,545,11
15607,36,279,2
15608,46,118,5
15609,39,346,20
15610,4,127,26
15611,17,926,11
15612,43,376,23
15613,59,226,15
15614,36,476,4
15615,25,718,24
15616,32,862,25
15617,42,607,14
15618,22,824,18
15619,58,850,17
15620,15,351,16
15621,38,769,16
15622,23,777,5
15623,46,996,7
15624,19,474,1
15625,57,906,21
15626,18,210,5
15627,9,837,26
15628,34,238,8
15629,8,700,12
15630,58,185,27
15631,24,388,16
15632,36,181,23
15633,34,912,21
15634,15,860,3
15635,14,157,15
15636,43,981,10
15637,6,344,3
15638,21,648,29
15639,8,229,9
15640,12,580,15
15641,40,726,5
15642,58,855,12
15643,39,577,4
15644,54,703,12
15645,21,314,2
15646,57,245,9
15647,16,376,29
15648,28,364,13
15649,39,313,30
15650,8,341,15
15651,13,715,17
15652,24,879,29
15653,50,185,2
15654,4,422,18
15655,12,336,16
15656,46,214,2
15657,5,449,24
15658,51,857,17
15659,46,522,16
15660,5,329,26
15661,32,665,1
15662,48,414,19
15663,23,729,15
15664,47,947,11
15665,11,878,12
15666,19,523,8
15667,19,762,3
15668,56,244,20
15669,19,345,29
15670,12,237,16
15671,55,294,13
15672,7,973,10
15673,43,501,16
15674,9,612,20
15675,55,648,16
15676,37,258,8
15677,54,135,19
15678,11,272,18
15679,2,111,15
15680,8,350,4
15681,35,833,8
15682,3,267,18
15683,41,148,14
15684,6,521,25
15685,44,224,27
15686,4,711,8
15687,24,248,23
15688,27,309,12
15689,43,712,11
15690,25,673,9
15691,60,754,25
15692,56,520,16
15693,60,648,13
15694,13,270,9
15695,43,835,26
15696,57,827,12
15697,32,901,15
15698,11,692,24
15699,48,350,25
15700,10,935,25
15701,48,457,28
15702,15,823,8
15703,26,652,14
15704,17,360,24
15705,23,552,29
15706,15,593,5
15707,49,727,13
15708,55,997,21
15709,42,640,22
15710,26,992,25
15711,4,741,3
15712,56,832,30
15713,23,498,19
15714,25,195,11
15715,4,382,1
15716,1,425,27
15717,27,335,13
15718,6,922,24
15719,58,559,7
15720,54,762,14
15721,37,149,16
15722,50,350,27
15723,9,624,3
15724,55,330,14
15725,47,979,9
15726,44,426,26
15727,11,362,15
15728,6,637,12
15729,4,836,5
15730,30,747,9
15731,17,963,18
15732,31,924,27
15733,52,909,21
15734,33,520,25
15735,42,241,19
15736,4,606,4
15737,19,782,18
15738,39,682,7
15739,11,746,27
15740,32,451,26
15741,14,701,29
15742,29,613,1
15743,49,733,8
15744,1,194,29
15745,44,872,10
15746,11,374,18
15747,47,449,7
15748,19,858,22
15749,4,399,25
15750,33,957,29
15751,34,748,23
15752,20,306,15
15753,7,799,12
15754,8,818,27
15755,13,696,23
15756,44,574,3
15757,38,595,13
15758,19,316,6
15759,34,532,12
15760,15,760,30
15761,56,135,14
15762,56,199,27
15763,49,157,14
15764,4,663,18
15765,33,288,17
15766,27,878,6
15767,55,678,17
15768,43,481,25
15769,13,749,28
15770,54,484,16
15771,37,322,28
15772,6,525,23
15773,57,622,20
15774,31,684,14
15775,18,693,6
15776,7,222,8
15777,23,264,24
15778,3,825,19
15779,17,312,10
15780,28,298,9
15781,3,709,8
15782,12,497,11
15783,27,571,23
15784,42,259,14
15785,33,711,18
15786,48,557,23
15787,41,464,17
15788,47,775,11
15789,10,895,5
15790,31,899,1
15791,47,555,17
15792,42,982,8
15793,37,219,20
15794,18,137,16
15795,28,551,10
15796,57,948,27
15797,13,264,26
15798,29,571,6
15799,27,643,24
15800,32,886,9
15801,3,794,22
15802,55,397,11
15803,18,611,5
15804,60,973,22
15805,31,248,17
15806,44,247,17
15807,6,535,23
15808,24,363,21
15809,23,663,19
15810,16,379,7
15811,36,279,6
15812,7,784,30
15813,27,911,16
15814,35,872,21
15815,49,365,3
15816,56,510,19
15817,7,891,9
15818,57,152,29
15819,47,444,29
15820,34,377,27
15821,37,302,18
15822,4,729,14
15823,59,784,11
15824,50,900,6
15825,19,259,17
15826,60,470,1
15827,16,296,27
15828,8,270,21
15829,13,869,10
15830,36,685,18
15831,33,977,25
15832,45,838,10
15833,41,421,10
15834,34,306,30
15835,58,923,18
15836,52,699,22
15837,33,953,18
15838,4,171,29
15839,10,273,21
15840,26,907,3
15841,11,852,2
15842,37,157,29
15843,56,160,25
15844,48,887,19
15845,38,832,24
15846,3,362,17
15847,40,902,2
15848,59,547,15
15849,40,450,13
15850,38,859,21
15851,26,843,15
15852,47,940,21
15853,7,803,7
15854,46,675,20
15855,6,855,27
15856,23,574,25
15857,13,700,28
15858,20,160,24
15859,26,651,15
15860,18,217,2
15861,7,782,19
15862,44,641,16
15863,37,705,17
15864,8,144,27
15865,13,859,21
15866,41,974,18
15867,2,718,23
15868,40,756,3
15869,17,938,14
15870,38,853,6
15871,47,828,16
15872,5,242,22
15873,25,155,20
15874,41,847,17
15875,16,298,8
15876,26,832,26
15877,12,679,10
15878,54,532,7
15879,7,689,6
15880,14,824,30
15881,49,748,7
15882,45,473,9
15883,28,722,12
15884,18,519,21
15885,41,949,18
15886,53,195,30
15887,47,294,9
15888,30,475,25
15889,20,545,7
15890,11,742,12
15891,19,908,27
15892,10,313,13
15893,35,937,27
15894,50,340,14
15895,42,536,25
15896,2,882,16
15897,7,725,9
15898,41,690,26
15899,49,945,30
15900,26,818,12
15901,37,876,10
15902,6,895,4
15903,6,337,12
15904,34,604,20
15905,58,613,25
15906,31,280,9
15907,53,443,21
15908,45,211,14
15909,35,292,29
15910,48,595,4
15911,48,104,30
15912,39,460,13
15913,6,824,27
15914,51,128,14
15915,19,447,11
15916,3,631,8
15917,11,101,8
15918,39,187,27
15919,5,398,10
15920,6,586,18
15921,24,588,22
15922,23,728,21
15923,35,873,9
15924,2,706,27
15925,55,233,16
15926,50,536,6
15927,10,922,13
15928,60,244,14
15929,56,432,11
15930,38,228,13
15931,12,562,8
15932,11,121,18
15933,20,252,15
15934,59,570,26
15935,55,622,28
15936,60,328,27
15937,54,581,14
15938,22,941,30
15939,20,629,5
15940,48,796,18
15941,6,119,5
15942,8,398,27
15943,32,852,9
15944,21,667,23
15945,37,604,23
15946,10,717,7
15947,51,505,8
15948,51,904,20
15949,18,344,4
15950,27,691,16
15951,5,764,20
15952,18,668,1
15953,20,584,3
15954,8,555,16
15955,27,589,12
15956,18,691,22
15957,26,957,29
15958,3,473,10
15959,53,560,5
15960,30,273,26
15961,15,133,14
15962,16,469,6
15963,52,660,3
15964,55,953,15
15965,29,577,1
15966,23,693,23
15967,55,287,8
15968,30,660,22
15969,52,894,14
15970,34,563,8
15971,42,868,23
15972,14,461,3
15973,12,785,26
15974,1,208,15
15975,38,190,13
15976,5,427,14
15977,52,986,25
15978,43,868,9
15979,13,204,22
15980,56,440,11
15981,39,182,8
15982,43,156,16
15983,50,855,9
15984,28,810,28
15985,23,831,15
15986,17,611,12
15987,39,153,24
15988,34,263,11
15989,4,861,25
15990,6,472,14
15991,30,270,18
15992,3,958,6
15993,4,295,23
15994,12,781,8
15995,8,683,12
15996,36,458,23
15997,26,127,6
15998,21,338,18
15999,51,769,14
16000,38,149,24
16001,18,904,23
16002,19,345,27
16003,32,708,13
16004,37,455,10
16005,35,904,5
16006,8,728,29
16007,34,634,21
16008,50,774,8
16009,59,189,27
16010,40,925,13
16011,45,867,23
16012,20,232,22
16013,51,830,8
16014,9,404,19
16015,8,111,21
16016,26,937,1
16017,26,591,2
16018,6,899,4
16019,51,478,15
16020,8,368,30
16021,5,910,26
16022,31,244,19
16023,55,689,28
16024,10,484,14
16025,43,113,6
16026,34,159,25
16027,35,183,10
16028,12,850,18
16029,42,281,7
16030,39,286,27
16031,32,210,24
16032,6,443,26
16033,25,749,3
16034,16,974,3
16035,32,548,26
16036,15,728,2
16037,52,395,21
16038,55,497,20
16039,18,364,2
16040,29,533,29
16041,35,384,9
16042,17,656,28
16043,37,813,11
16044,57,462,1
16045,17,380,5
16046,26,389,22
16047,2,947,9
16048,43,850,6
16049,37,466,8
16050,53,951,2
16051,19,352,20
16052,45,110,29
16053,17,187,23
16054,37,982,18
16055,7,851,19
16056,36,157,14
16057,26,383,6
16058,12,555,5
16059,10,728,29
16060,34,456,8
16061,45,781,11
16062,13,973,17
16063,5,279,28
16064,8,987,17
16065,46,402,16
16066,15,475,7
16067,47,160,30
16068,37,907,14
16069,17,236,17
16070,55,102,3
16071,35,813,27
16072,18,667,30
16073,23,155,14
16074,23,276,11
16075,27,608,18
16076,29,628,1
16077,55,128,2
16078,51,455,26
16079,44,327,5
16080,32,542,28
16081,24,498,2
16082,30,625,28
16083,22,391,22
16084,3,739,26
16085,2,236,18
16086,26,228,22
16087,26,906,26
16088,51,548,16
16089,19,511,30
16090,60,908,30
16091,24,411,23
16092,30,777,6
16093,38,206,8
16094,1,142,14
16095,27,452,19
16096,38,509,12
16097,22,654,28
16098,37,669,12
16099,46,295,9
16100,32,308,24
16101,25,758,11
16102,29,112,12
16103,55,669,14
16104,34,892,16
16105,50,559,1
16106,33,142,19
16107,30,813,11
16108,11,101,22
16109,44,778,5
16110,5,997,28
16111,26,289,28
16112,21,841,6
16113,5,525,5
16114,15,398,8
16115,17,625,7
16116,17,203,24
16117,41,942,11
16118,49,198,14
16119,19,946,26
16120,36,967,22
16121,48,727,14
16122,47,244,12
16123,45,709,25
16124,16,561,17
16125,35,424,2
16126,29,400,3
16127,17,372,2
16128,22,706,28
16129,49,249,17
16130,43,609,24
16131,44,880,9
16132,52,518,7
16133,50,508,24
16134,43,467,9
16135,24,359,28
16136,19,159,12
16137,45,457,16
16138,26,918,17
16139,17,759,21
16140,29,313,24
16141,12,742,4
16142,25,268,17
16143,28,587,4
16144,53,237,17
16145,12,701,18
16146,33,889,12
16147,16,741,20
16148,7,857,15
16149,41,139,21
16150,27,558,12
16151,56,480,20
16152,44,663,17
16153,10,380,20
16154,44,253,21
16155,15,434,10
16156,25,735,23
16157,42,200,9
16158,30,552,28
16159,5,469,19
16160,58,277,30
16161,25,464,17
16162,33,944,10
16163,40,341,12
16164,6,235,6
16165,53,667,19
16166,18,835,15
16167,8,696,13
16168,43,903,7
16169,41,706,5
16170,26,504,19
16171,56,521,19
16172,9,784,18
16173,44,438,29
16174,22,330,2
16175,45,818,19
16176,48,369,8
16177,15,267,1
